Word,Nmorph_ELP,LLM_Predicted_Estimate,Signed_Discrepancy_GPT_minus_NMorph,Absolute_Discrepancy,Transparency_Proximity_0_1,Undersegmentation,Oversegmentation
casuals,2,2,0,0,1,0,0
casualty,2,2,0,0,1,0,0
casuistic,2,3,1,1,0.5,0,1
casuistry,2,2,0,0,1,0,0
casuists,2,2,0,0,1,0,0
cataclysms,2,3,1,1,0.5,0,1
catacombs,2,3,1,1,0.5,0,1
catalepsy,2,3,1,1,0.5,0,1
cataleptic,2,3,1,1,0.5,0,1
catalogs,2,2,0,0,1,0,0
catalogued,2,2,0,0,1,0,0
catalogues,2,2,0,0,1,0,0
cataloguing,2,3,1,1,0.5,0,1
catalpas,2,2,0,0,1,0,0
catalysis,2,2,0,0,1,0,0
catalyst,2,2,0,0,1,0,0
catalytic,2,3,1,1,0.5,0,1
catamarans,2,3,1,1,0.5,0,1
catapulted,2,3,1,1,0.5,0,1
catapulting,2,3,1,1,0.5,0,1
catapults,2,3,1,1,0.5,0,1
cataracts,2,3,1,1,0.5,0,1
catastrophe,2,2,0,0,1,0,0
catastrophic,2,3,1,1,0.5,0,1
catatonias,2,3,1,1,0.5,0,1
catatonics,2,3,1,1,0.5,0,1
catcall,2,2,0,0,1,0,0
catcher,2,2,0,0,1,0,0
catches,2,2,0,0,1,0,0
catching,2,2,0,0,1,0,0
catchment,2,2,0,0,1,0,0
catchphrase,2,2,0,0,1,0,0
catchup,2,2,0,0,1,0,0
catchword,2,2,0,0,1,0,0
catchy,2,2,0,0,1,0,0
catechism,2,2,0,0,1,0,0
catechist,2,2,0,0,1,0,0
catechize,2,2,0,0,1,0,0
categorize,2,3,1,1,0.5,0,1
category,2,2,0,0,1,0,0
catered,2,2,0,0,1,0,0
caterer,2,3,1,1,0.5,0,1
catering,2,2,0,0,1,0,0
caterpillars,2,3,1,1,0.5,0,1
caters,2,2,0,0,1,0,0
caterwauled,2,3,1,1,0.5,0,1
caterwauling,2,3,1,1,0.5,0,1
caterwauls,2,3,1,1,0.5,0,1
catfish,2,2,0,0,1,0,0
catgut,2,2,0,0,1,0,0
catharses,2,3,1,1,0.5,0,1
catharsis,2,2,0,0,1,0,0
cathartic,2,2,0,0,1,0,0
cathedrals,2,3,1,1,0.5,0,1
Catherine's,2,2,0,0,1,0,0
CATHERWOOD,2,2,0,0,1,0,0
catheters,2,3,1,1,0.5,0,1
cathodes,2,3,1,1,0.5,0,1
Catholicism,2,3,1,1,0.5,0,1
catholicity,2,3,1,1,0.5,0,1
Catholics,2,3,1,1,0.5,0,1
Cathy,2,2,0,0,1,0,0
catkins,2,3,1,1,0.5,0,1
catlike,2,2,0,0,1,0,0
catnap,2,2,0,0,1,0,0
catnip,2,2,0,0,1,0,0
cats,2,2,0,0,1,0,0
cat's,2,2,0,0,1,0,0
CATSKILLS,2,3,1,1,0.5,0,1
catsups,2,2,0,0,1,0,0
cattish,2,2,0,0,1,0,0
cattlemen,2,3,1,1,0.5,0,1
catty,2,2,0,0,1,0,0
catwalk,2,2,0,0,1,0,0
Caucasian,2,2,0,0,1,0,0
caucused,2,2,0,0,1,0,0
caucuses,2,2,0,0,1,0,0
caucusing,2,3,1,1,0.5,0,1
caudal,2,2,0,0,1,0,0
cauldrons,2,2,0,0,1,0,0
cauliflowers,2,3,1,1,0.5,0,1
cauls,2,2,0,0,1,0,0
causal,2,2,0,0,1,0,0
causation,2,2,0,0,1,0,0
causative,2,3,1,1,0.5,0,1
caused,2,2,0,0,1,0,0
causeless,2,2,0,0,1,0,0
causeries,2,3,1,1,0.5,0,1
causes,2,2,0,0,1,0,0
causeway,2,2,0,0,1,0,0
causing,2,2,0,0,1,0,0
caustically,2,3,1,1,0.5,0,1
cauterized,2,3,1,1,0.5,0,1
cauterizes,2,3,1,1,0.5,0,1
cauterizing,2,3,1,1,0.5,0,1
caution,2,2,0,0,1,0,0
cautious,2,2,0,0,1,0,0
cavalcade,2,2,0,0,1,0,0
cavalier,2,2,0,0,1,0,0
cavalry,2,2,0,0,1,0,0
caveats,2,2,0,0,1,0,0
caved,2,2,0,0,1,0,0
caveman,2,2,0,0,1,0,0
cavemen,2,2,0,0,1,0,0
cavernous,2,2,0,0,1,0,0
caverns,2,2,0,0,1,0,0
caves,2,2,0,0,1,0,0
cavilled,2,2,0,0,1,0,0
caviller,2,2,0,0,1,0,0
cavilling,2,3,1,1,0.5,0,1
cavils,2,2,0,0,1,0,0
caving,2,2,0,0,1,0,0
cavities,2,2,0,0,1,0,0
cavorted,2,3,1,1,0.5,0,1
cavorting,2,3,1,1,0.5,0,1
cavorts,2,2,0,0,1,0,0
cawed,2,2,0,0,1,0,0
cawing,2,2,0,0,1,0,0
caws,2,2,0,0,1,0,0
ceased,2,2,0,0,1,0,0
ceaseless,2,2,0,0,1,0,0
ceases,2,2,0,0,1,0,0
ceasing,2,2,0,0,1,0,0
cedars,2,2,0,0,1,0,0
ceded,2,2,0,0,1,0,0
cedes,2,2,0,0,1,0,0
cedillas,2,3,1,1,0.5,0,1
ceding,2,2,0,0,1,0,0
ceilings,2,3,1,1,0.5,0,1
celandines,2,3,1,1,0.5,0,1
celebrant,2,2,0,0,1,0,0
celebrate,2,2,0,0,1,0,0
celebrity,2,2,0,0,1,0,0
celestial,2,2,0,0,1,0,0
celibacy,2,2,0,0,1,0,0
celibate,2,2,0,0,1,0,0
cellarage,2,3,1,1,0.5,0,1
cellars,2,2,0,0,1,0,0
cellists,2,3,1,1,0.5,0,1
cellos,2,2,0,0,1,0,0
cells,2,2,0,0,1,0,0
Celtic,2,2,0,0,1,0,0
Celts,2,2,0,0,1,0,0
cemented,2,2,0,0,1,0,0
cementing,2,2,0,0,1,0,0
cements,2,2,0,0,1,0,0
cemeteries,2,3,1,1,0.5,0,1
cenotaphs,2,3,1,1,0.5,0,1
censed,2,2,0,0,1,0,0
censes,2,2,0,0,1,0,0
censing,2,2,0,0,1,0,0
censor,2,2,0,0,1,0,0
censure,2,2,0,0,1,0,0
censuses,2,3,1,1,0.5,0,1
centaurs,2,2,0,0,1,0,0
centered,2,2,0,0,1,0,0
centering,2,2,0,0,1,0,0
centerline,2,2,0,0,1,0,0
centers,2,2,0,0,1,0,0
center's,2,2,0,0,1,0,0
centigrade,2,2,0,0,1,0,0
centigram,2,2,0,0,1,0,0
centimeter,2,2,0,0,1,0,0
centimetre,2,3,1,1,0.5,0,1
centipede,2,2,0,0,1,0,0
central,2,2,0,0,1,0,0
centred,2,2,0,0,1,0,0
CENTREDALE,2,2,0,0,1,0,0
centrepiece,2,2,0,0,1,0,0
centres,2,2,0,0,1,0,0
centric,2,2,0,0,1,0,0
centrifuge,2,2,0,0,1,0,0
centring,2,2,0,0,1,0,0
centripetal,2,3,1,1,0.5,0,1
centrist,2,2,0,0,1,0,0
cents,2,2,0,0,1,0,0
centuries,2,2,0,0,1,0,0
centurions,2,3,1,1,0.5,0,1
cephalic,2,2,0,0,1,0,0
CEPTIN,2,2,0,0,1,0,0
cereals,2,2,0,0,1,0,0
cerebella,2,3,1,1,0.5,0,1
cerebellum,2,3,1,1,0.5,0,1
cerebral,2,2,0,0,1,0,0
cerebrate,2,2,0,0,1,0,0
cerebrums,2,2,0,0,1,0,0
ceremony,2,2,0,0,1,0,0
certainly,2,2,0,0,1,0,0
certainty,2,2,0,0,1,0,0
certify,2,2,0,0,1,0,0
certitude,2,2,0,0,1,0,0
certs,2,2,0,0,1,0,0
cervical,2,2,0,0,1,0,0
cervix,2,2,0,0,1,0,0
cessation,2,2,0,0,1,0,0
cessions,2,2,0,0,1,0,0
cesspit,2,2,0,0,1,0,0
cesspool,2,2,0,0,1,0,0
cetaceans,2,3,1,1,0.5,0,1
chaconnes,2,2,0,0,1,0,0
CHADWICK,2,2,0,0,1,0,0
chafed,2,2,0,0,1,0,0
chafes,2,2,0,0,1,0,0
chaffed,2,2,0,0,1,0,0
chaffinches,2,3,1,1,0.5,0,1
chaffing,2,2,0,0,1,0,0
chaffs,2,2,0,0,1,0,0
chafing,2,2,0,0,1,0,0
chagrined,2,2,0,0,1,0,0
chagrins,2,2,0,0,1,0,0
chained,2,2,0,0,1,0,0
chaining,2,2,0,0,1,0,0
chainlike,2,2,0,0,1,0,0
chains,2,2,0,0,1,0,0
chaired,2,2,0,0,1,0,0
chairing,2,2,0,0,1,0,0
chairman,2,2,0,0,1,0,0
chairmen,2,2,0,0,1,0,0
chairperson,2,2,0,0,1,0,0
chairs,2,2,0,0,1,0,0
chairwoman,2,2,0,0,1,0,0
chairwomen,2,3,1,1,0.5,0,1
chaises,2,2,0,0,1,0,0
chalets,2,2,0,0,1,0,0
chalices,2,2,0,0,1,0,0
chalked,2,2,0,0,1,0,0
chalking,2,2,0,0,1,0,0
chalkpit,2,2,0,0,1,0,0
chalks,2,2,0,0,1,0,0
chalky,2,2,0,0,1,0,0
challenged,2,3,1,1,0.5,0,1
challenger,2,2,0,0,1,0,0
challenges,2,3,1,1,0.5,0,1
challenging,2,3,1,1,0.5,0,1
chambered,2,2,0,0,1,0,0
chamberlains,2,3,1,1,0.5,0,1
chambermaid,2,2,0,0,1,0,0
chamberpot,2,2,0,0,1,0,0
chambers,2,2,0,0,1,0,0
chameleons,2,3,1,1,0.5,0,1
champaigns,2,2,0,0,1,0,0
champed,2,2,0,0,1,0,0
champing,2,2,0,0,1,0,0
championed,2,3,1,1,0.5,0,1
championing,2,3,1,1,0.5,0,1
champions,2,2,0,0,1,0,0
championship,2,3,1,1,0.5,0,1
champs,2,2,0,0,1,0,0
chanced,2,2,0,0,1,0,0
chancellery,2,2,0,0,1,0,0
chancellor,2,2,0,0,1,0,0
chancels,2,2,0,0,1,0,0
chanceries,2,3,1,1,0.5,0,1
chances,2,2,0,0,1,0,0
chancing,2,2,0,0,1,0,0
chancy,2,2,0,0,1,0,0
chandeliers,2,3,1,1,0.5,0,1
chandlers,2,3,1,1,0.5,0,1
CHANDLER'S,2,2,0,0,1,0,0
changeable,2,2,0,0,1,0,0
changed,2,2,0,0,1,0,0
changeful,2,2,0,0,1,0,0
changeless,2,2,0,0,1,0,0
changeling,2,3,1,1,0.5,0,1
changes,2,2,0,0,1,0,0
changing,2,2,0,0,1,0,0
channeled,2,2,0,0,1,0,0
channelled,2,3,1,1,0.5,0,1
channelling,2,3,1,1,0.5,0,1
channels,2,2,0,0,1,0,0
CHANSONS,2,2,0,0,1,0,0
chanted,2,2,0,0,1,0,0
chanting,2,2,0,0,1,0,0
chantries,2,3,1,1,0.5,0,1
chants,2,2,0,0,1,0,0
chaotically,2,3,1,1,0.5,0,1
chapels,2,2,0,0,1,0,0
chaperoned,2,3,1,1,0.5,0,1
chaperons,2,2,0,0,1,0,0
chaplaincy,2,3,1,1,0.5,0,1
chaplains,2,2,0,0,1,0,0
CHAPMAN,2,2,0,0,1,0,0
chapped,2,2,0,0,1,0,0
chapping,2,2,0,0,1,0,0
chaps,2,2,0,0,1,0,0
chapters,2,2,0,0,1,0,0
chapter's,2,2,0,0,1,0,0
characteristic,2,3,1,1,0.5,0,1
characterize,2,3,1,1,0.5,0,1
characterless,2,2,0,0,1,0,0
characters,2,3,1,1,0.5,0,1
charades,2,2,0,0,1,0,0
chards,2,2,0,0,1,0,0
chargeable,2,2,0,0,1,0,0
charged,2,2,0,0,1,0,0
charger,2,2,0,0,1,0,0
charges,2,2,0,0,1,0,0
CHARGIN,2,2,0,0,1,0,0
charging,2,2,0,0,1,0,0
charier,2,2,0,0,1,0,0
chariest,2,2,0,0,1,0,0
charily,2,2,0,0,1,0,0
charioteer,2,2,0,0,1,0,0
chariots,2,2,0,0,1,0,0
charismas,2,2,0,0,1,0,0
charismatically,2,4,2,2,0.333333333,0,2
charitable,2,2,0,0,1,0,0
charity,2,2,0,0,1,0,0
charlady,2,2,0,0,1,0,0
charlatans,2,3,1,1,0.5,0,1
Charles's,2,2,0,0,1,0,0
Charleston,2,2,0,0,1,0,0
CHARLEY,2,2,0,0,1,0,0
Charlie,2,2,0,0,1,0,0
charlocks,2,2,0,0,1,0,0
charlottes,2,2,0,0,1,0,0
charmed,2,2,0,0,1,0,0
charmer,2,2,0,0,1,0,0
charming,2,2,0,0,1,0,0
charms,2,2,0,0,1,0,0
charnels,2,2,0,0,1,0,0
charred,2,2,0,0,1,0,0
charring,2,2,0,0,1,0,0
chars,2,2,0,0,1,0,0
charted,2,2,0,0,1,0,0
chartered,2,3,1,1,0.5,0,1
chartering,2,3,1,1,0.5,0,1
charters,2,2,0,0,1,0,0
charting,2,2,0,0,1,0,0
Chartist,2,2,0,0,1,0,0
charts,2,2,0,0,1,0,0
charwoman,2,2,0,0,1,0,0
charwomen,2,2,0,0,1,0,0
chased,2,2,0,0,1,0,0
chaser,2,2,0,0,1,0,0
chases,2,2,0,0,1,0,0
chasing,2,2,0,0,1,0,0
chasms,2,2,0,0,1,0,0
chastely,2,2,0,0,1,0,0
chasten,2,2,0,0,1,0,0
chaster,2,2,0,0,1,0,0
chastised,2,3,1,1,0.5,0,1
chastisement,2,3,1,1,0.5,0,1
chastises,2,3,1,1,0.5,0,1
chastising,2,3,1,1,0.5,0,1
chastity,2,2,0,0,1,0,0
CHATHAM,2,2,0,0,1,0,0
chats,2,2,0,0,1,0,0
chatted,2,2,0,0,1,0,0
chattels,2,2,0,0,1,0,0
chatterbox,2,2,0,0,1,0,0
chattered,2,2,0,0,1,0,0
chatterer,2,3,1,1,0.5,0,1
chattering,2,3,1,1,0.5,0,1
chatters,2,2,0,0,1,0,0
chatting,2,2,0,0,1,0,0
chatty,2,2,0,0,1,0,0
chauffeured,2,2,0,0,1,0,0
chauffeuring,2,3,1,1,0.5,0,1
chauffeurs,2,2,0,0,1,0,0
chauffeur's,2,2,0,0,1,0,0
chauvinism,2,3,1,1,0.5,0,1
chauvinist,2,2,0,0,1,0,0
chawed,2,2,0,0,1,0,0
chawing,2,2,0,0,1,0,0
chaws,2,2,0,0,1,0,0
cheapen,2,2,0,0,1,0,0
cheaper,2,2,0,0,1,0,0
cheapest,2,2,0,0,1,0,0
cheaply,2,2,0,0,1,0,0
cheapness,2,2,0,0,1,0,0
cheapskate,2,2,0,0,1,0,0
cheated,2,2,0,0,1,0,0
cheating,2,2,0,0,1,0,0
cheats,2,2,0,0,1,0,0
checkbook,2,2,0,0,1,0,0
checked,2,2,0,0,1,0,0
checker,2,2,0,0,1,0,0
CHECKIN,2,2,0,0,1,0,0
checking,2,2,0,0,1,0,0
checklist,2,2,0,0,1,0,0
checkmate,2,2,0,0,1,0,0
checkoff,2,2,0,0,1,0,0
checkout,2,2,0,0,1,0,0
checkpoint,2,2,0,0,1,0,0
checks,2,2,0,0,1,0,0
checkup,2,2,0,0,1,0,0
cheekbone,2,2,0,0,1,0,0
cheeked,2,2,0,0,1,0,0
cheeking,2,2,0,0,1,0,0
cheeks,2,2,0,0,1,0,0
cheeky,2,2,0,0,1,0,0
cheeped,2,2,0,0,1,0,0
cheeping,2,2,0,0,1,0,0
cheeps,2,2,0,0,1,0,0
cheered,2,2,0,0,1,0,0
cheerful,2,2,0,0,1,0,0
cheering,2,2,0,0,1,0,0
cheerless,2,2,0,0,1,0,0
cheers,2,2,0,0,1,0,0
cheery,2,2,0,0,1,0,0
cheesecake,2,2,0,0,1,0,0
cheesecloth,2,2,0,0,1,0,0
cheeses,2,2,0,0,1,0,0
cheetahs,2,2,0,0,1,0,0
chefs,2,2,0,0,1,0,0
chemical,2,2,0,0,1,0,0
chemises,2,2,0,0,1,0,0
chemist,2,2,0,0,1,0,0
chequebook,2,2,0,0,1,0,0
chequer,2,2,0,0,1,0,0
cheques,2,2,0,0,1,0,0
cherished,2,2,0,0,1,0,0
cherishes,2,3,1,1,0.5,0,1
cherishing,2,3,1,1,0.5,0,1
Cherokees,2,3,1,1,0.5,0,1
cheroots,2,2,0,0,1,0,0
cherries,2,2,0,0,1,0,0
cherubic,2,2,0,0,1,0,0
cherubs,2,2,0,0,1,0,0
Cheshire,2,2,0,0,1,0,0
chessboard,2,2,0,0,1,0,0
chessman,2,2,0,0,1,0,0
chessmen,2,2,0,0,1,0,0
chesterfield,2,3,1,1,0.5,0,1
CHESTERTON,2,2,0,0,1,0,0
chestnut,2,2,0,0,1,0,0
chests,2,2,0,0,1,0,0
chesty,2,2,0,0,1,0,0
chevaliers,2,3,1,1,0.5,0,1
chevrons,2,2,0,0,1,0,0
chewed,2,2,0,0,1,0,0
chewing,2,2,0,0,1,0,0
chews,2,2,0,0,1,0,0
chiaroscuros,2,3,1,1,0.5,0,1
Chicago's,2,2,0,0,1,0,0
chicaned,2,2,0,0,1,0,0
chicanery,2,3,1,1,0.5,0,1
chicanes,2,2,0,0,1,0,0
chicaning,2,3,1,1,0.5,0,1
chicken,2,2,0,0,1,0,0
chickpea,2,2,0,0,1,0,0
chicks,2,2,0,0,1,0,0
chickweed,2,2,0,0,1,0,0
chicly,2,2,0,0,1,0,0
chided,2,2,0,0,1,0,0
chides,2,2,0,0,1,0,0
chiding,2,2,0,0,1,0,0
chiefdom,2,2,0,0,1,0,0
chiefly,2,2,0,0,1,0,0
chiefs,2,2,0,0,1,0,0
chief's,2,2,0,0,1,0,0
chieftaincy,2,3,1,1,0.5,0,1
chieftains,2,3,1,1,0.5,0,1
chieftainship,2,3,1,1,0.5,0,1
chignons,2,2,0,0,1,0,0
chihuahuas,2,3,1,1,0.5,0,1
chilblained,2,3,1,1,0.5,0,1
chilblains,2,3,1,1,0.5,0,1
childbirth,2,2,0,0,1,0,0
childhood,2,2,0,0,1,0,0
childish,2,2,0,0,1,0,0
childless,2,2,0,0,1,0,0
childlike,2,2,0,0,1,0,0
children,2,2,0,0,1,0,0
child's,2,2,0,0,1,0,0
Chilean,2,2,0,0,1,0,0
chilled,2,2,0,0,1,0,0
chiller,2,2,0,0,1,0,0
chilling,2,2,0,0,1,0,0
chills,2,2,0,0,1,0,0
chilly,2,2,0,0,1,0,0
chimed,2,2,0,0,1,0,0
Chimera,2,2,0,0,1,0,0
chimeric,2,2,0,0,1,0,0
chimes,2,2,0,0,1,0,0
chiming,2,2,0,0,1,0,0
chimneybreast,2,2,0,0,1,0,0
chimneypiece,2,2,0,0,1,0,0
chimneypot,2,2,0,0,1,0,0
chimneys,2,2,0,0,1,0,0
chimneystack,2,2,0,0,1,0,0
chimneysweep,2,2,0,0,1,0,0
chimpanzees,2,3,1,1,0.5,0,1
chimps,2,2,0,0,1,0,0
Chinaman,2,2,0,0,1,0,0
China's,2,2,0,0,1,0,0
Chinatown,2,2,0,0,1,0,0
chinaware,2,2,0,0,1,0,0
chinchillas,2,3,1,1,0.5,0,1
chines,2,2,0,0,1,0,0
Chinese,2,2,0,0,1,0,0
chinked,2,2,0,0,1,0,0
chinking,2,3,1,1,0.5,0,1
Chinks,2,2,0,0,1,0,0
chinless,2,2,0,0,1,0,0
CHINNING,2,2,0,0,1,0,0
chins,2,2,0,0,1,0,0
chinstrap,2,2,0,0,1,0,0
chinwag,2,2,0,0,1,0,0
chipboard,2,2,0,0,1,0,0
chipmunks,2,3,1,1,0.5,0,1
chipped,2,2,0,0,1,0,0
Chippendale,2,3,1,1,0.5,0,1
chipping,2,2,0,0,1,0,0
chippy,2,2,0,0,1,0,0
chips,2,2,0,0,1,0,0
chirped,2,2,0,0,1,0,0
chirping,2,2,0,0,1,0,0
chirps,2,2,0,0,1,0,0
chirpy,2,2,0,0,1,0,0
chirruped,2,3,1,1,0.5,0,1
chirruping,2,3,1,1,0.5,0,1
chirrups,2,2,0,0,1,0,0
chis,2,2,0,0,1,0,0
chiseled,2,2,0,0,1,0,0
chiselled,2,3,1,1,0.5,0,1
chiseller,2,3,1,1,0.5,0,1
chiselling,2,3,1,1,0.5,0,1
chisels,2,2,0,0,1,0,0
chitchat,2,2,0,0,1,0,0
chits,2,2,0,0,1,0,0
chivalrous,2,2,0,0,1,0,0
chivalry,2,2,0,0,1,0,0
chives,2,2,0,0,1,0,0
chloride,2,2,0,0,1,0,0
chlorine,2,2,0,0,1,0,0
chloroform,2,2,0,0,1,0,0
chlorophyll,2,2,0,0,1,0,0
chocked,2,2,0,0,1,0,0
chocking,2,2,0,0,1,0,0
chocks,2,2,0,0,1,0,0
chocolates,2,3,1,1,0.5,0,1
Choctaws,2,2,0,0,1,0,0
choicely,2,2,0,0,1,0,0
choiceness,2,2,0,0,1,0,0
choicer,2,2,0,0,1,0,0
choices,2,2,0,0,1,0,0
choicest,2,2,0,0,1,0,0
choirboy,2,2,0,0,1,0,0
choirmaster,2,2,0,0,1,0,0
choirs,2,2,0,0,1,0,0
choir's,2,2,0,0,1,0,0
choked,2,2,0,0,1,0,0
choker,2,2,0,0,1,0,0
chokes,2,2,0,0,1,0,0
choking,2,2,0,0,1,0,0
choky,2,2,0,0,1,0,0
cholerically,2,3,1,1,0.5,0,1
chomped,2,2,0,0,1,0,0
chomping,2,2,0,0,1,0,0
chomps,2,2,0,0,1,0,0
chooses,2,3,1,1,0.5,0,1
choosing,2,2,0,0,1,0,0
choosy,2,2,0,0,1,0,0
CHOPIN'S,2,2,0,0,1,0,0
chopped,2,2,0,0,1,0,0
chopper,2,2,0,0,1,0,0
chopping,2,2,0,0,1,0,0
choppy,2,2,0,0,1,0,0
chops,2,2,0,0,1,0,0
chopstick,2,2,0,0,1,0,0
choral,2,2,0,0,1,0,0
chorales,2,2,0,0,1,0,0
chords,2,2,0,0,1,0,0
chores,2,2,0,0,1,0,0
choristers,2,3,1,1,0.5,0,1
chortled,2,2,0,0,1,0,0
chortles,2,2,0,0,1,0,0
chortling,2,2,0,0,1,0,0
chorus,2,2,0,0,1,0,0
chosen,2,2,0,0,1,0,0
chowders,2,3,1,1,0.5,0,1
chows,2,2,0,0,1,0,0
Christen,2,2,0,0,1,0,0
Christian,2,2,0,0,1,0,0
CHRISTIANA,2,2,0,0,1,0,0
Christlike,2,2,0,0,1,0,0
Christmas,2,2,0,0,1,0,0
Christ's,2,2,0,0,1,0,0
chromatic,2,2,0,0,1,0,0
chromatics,2,3,1,1,0.5,0,1
chromed,2,2,0,0,1,0,0
chromic,2,2,0,0,1,0,0
chromium,2,2,0,0,1,0,0
chromosome,2,2,0,0,1,0,0
chronic,2,2,0,0,1,0,0
chronicle,2,2,0,0,1,0,0
chronograph,2,2,0,0,1,0,0
chronometer,2,3,1,1,0.5,0,1
chrysalises,2,3,1,1,0.5,0,1
chrysanthemums,2,4,2,2,0.333333333,0,2
chubbier,2,2,0,0,1,0,0
chubbiest,2,3,1,1,0.5,0,1
chubbiness,2,3,1,1,0.5,0,1
chubs,2,2,0,0,1,0,0
chucked,2,2,0,0,1,0,0
chucking,2,2,0,0,1,0,0
chuckled,2,2,0,0,1,0,0
chuckles,2,2,0,0,1,0,0
chuckling,2,2,0,0,1,0,0
chucks,2,2,0,0,1,0,0
CHUFFING,2,2,0,0,1,0,0
chugged,2,2,0,0,1,0,0
chugging,2,2,0,0,1,0,0
chugs,2,2,0,0,1,0,0
chukkas,2,2,0,0,1,0,0
chummed,2,2,0,0,1,0,0
chumming,2,2,0,0,1,0,0
chummy,2,2,0,0,1,0,0
chumps,2,2,0,0,1,0,0
chums,2,2,0,0,1,0,0
chunks,2,2,0,0,1,0,0
chunky,2,2,0,0,1,0,0
churched,2,2,0,0,1,0,0
churches,2,2,0,0,1,0,0
CHURCHILLIAN,2,3,1,1,0.5,0,1
Churchill's,2,3,1,1,0.5,0,1
churching,2,2,0,0,1,0,0
churchmen,2,2,0,0,1,0,0
church's,2,2,0,0,1,0,0
churchyard,2,2,0,0,1,0,0
churlish,2,2,0,0,1,0,0
churls,2,2,0,0,1,0,0
churned,2,2,0,0,1,0,0
churning,2,2,0,0,1,0,0
churns,2,2,0,0,1,0,0
chutes,2,2,0,0,1,0,0
chutneys,2,2,0,0,1,0,0
cicadas,2,2,0,0,1,0,0
cicatrices,2,3,1,1,0.5,0,1
Cicero's,2,2,0,0,1,0,0
ciderpress,2,2,0,0,1,0,0
ciders,2,2,0,0,1,0,0
cigarette,2,2,0,0,1,0,0
cigars,2,2,0,0,1,0,0
cinches,2,2,0,0,1,0,0
cinching,2,2,0,0,1,0,0
Cinderella,2,3,1,1,0.5,0,1
cinders,2,2,0,0,1,0,0
cinemas,2,2,0,0,1,0,0
cinematograph,2,2,0,0,1,0,0
CINERAMA,2,2,0,0,1,0,0
cinquefoils,2,3,1,1,0.5,0,1
ciphered,2,2,0,0,1,0,0
ciphering,2,2,0,0,1,0,0
ciphers,2,2,0,0,1,0,0
circled,2,2,0,0,1,0,0
circles,2,2,0,0,1,0,0
circlets,2,2,0,0,1,0,0
circling,2,2,0,0,1,0,0
circuitry,2,2,0,0,1,0,0
circuits,2,2,0,0,1,0,0
circular,2,2,0,0,1,0,0
circulate,2,2,0,0,1,0,0
circumcise,2,2,0,0,1,0,0
circumference,2,2,0,0,1,0,0
circumflex,2,2,0,0,1,0,0
circumscribe,2,2,0,0,1,0,0
circumspect,2,2,0,0,1,0,0
circumstance,2,2,0,0,1,0,0
circumvent,2,2,0,0,1,0,0
circuses,2,2,0,0,1,0,0
cisterns,2,2,0,0,1,0,0
citadels,2,2,0,0,1,0,0
citation,2,2,0,0,1,0,0
cited,2,2,0,0,1,0,0
cites,2,2,0,0,1,0,0
cities,2,2,0,0,1,0,0
citing,2,2,0,0,1,0,0
citizenry,2,3,1,1,0.5,0,1
citizens,2,3,1,1,0.5,0,1
citizen's,2,2,0,0,1,0,0
citizenship,2,3,1,1,0.5,0,1
citrons,2,2,0,0,1,0,0
citruses,2,2,0,0,1,0,0
city's,2,2,0,0,1,0,0
citywide,2,2,0,0,1,0,0
civets,2,2,0,0,1,0,0
civics,2,2,0,0,1,0,0
civilian,2,2,0,0,1,0,0
civility,2,2,0,0,1,0,0
civilize,2,2,0,0,1,0,0
civilly,2,2,0,0,1,0,0
civvies,2,2,0,0,1,0,0
clacked,2,2,0,0,1,0,0
clacking,2,2,0,0,1,0,0
clacks,2,2,0,0,1,0,0
CLADDING,2,2,0,0,1,0,0
claimant,2,2,0,0,1,0,0
claimed,2,2,0,0,1,0,0
claiming,2,2,0,0,1,0,0
claims,2,2,0,0,1,0,0
clairvoyance,2,3,1,1,0.5,0,1
clairvoyant,2,3,1,1,0.5,0,1
clambered,2,2,0,0,1,0,0
clambering,2,3,1,1,0.5,0,1
clambers,2,2,0,0,1,0,0
clammed,2,2,0,0,1,0,0
clamming,2,2,0,0,1,0,0
clammy,2,2,0,0,1,0,0
clamored,2,2,0,0,1,0,0
clamoring,2,2,0,0,1,0,0
clamorous,2,2,0,0,1,0,0
clamors,2,2,0,0,1,0,0
clamoured,2,2,0,0,1,0,0
clamouring,2,3,1,1,0.5,0,1
clamours,2,2,0,0,1,0,0
clampdown,2,2,0,0,1,0,0
clamped,2,2,0,0,1,0,0
clamping,2,2,0,0,1,0,0
clamps,2,2,0,0,1,0,0
clams,2,2,0,0,1,0,0
clamshell,2,2,0,0,1,0,0
clandestinely,2,3,1,1,0.5,0,1
clandestineness,2,3,1,1,0.5,0,1
clanged,2,2,0,0,1,0,0
clanger,2,2,0,0,1,0,0
clanging,2,2,0,0,1,0,0
clangorous,2,3,1,1,0.5,0,1
clangs,2,2,0,0,1,0,0
clanked,2,2,0,0,1,0,0
clanking,2,2,0,0,1,0,0
clanks,2,2,0,0,1,0,0
clannish,2,2,0,0,1,0,0
clans,2,2,0,0,1,0,0
clapboard,2,2,0,0,1,0,0
clapped,2,2,0,0,1,0,0
clapper,2,2,0,0,1,0,0
clapping,2,2,0,0,1,0,0
claps,2,2,0,0,1,0,0
claptrap,2,2,0,0,1,0,0
CLARETS,2,2,0,0,1,0,0
clarify,2,2,0,0,1,0,0
clarinets,2,3,1,1,0.5,0,1
clarinettist,2,3,1,1,0.5,0,1
